id,latitude,longitude,name,category
1859114111,41.9984602,21.4349949,Филип II Македонски,memorial
1866944575,41.9983057,21.4254968,Св. Климент Охридски,memorial
1867151652,41.9993163,21.4371620,Скендербег,memorial
1902385557,42.0516892,20.7001933,Varrezat e Radeshës,memorial
2138788013,41.4293251,21.7629669,Ножот,memorial
2316156278,41.0246150,21.3368929,Стефан Наумов-Стив,memorial
2616082758,42.1491368,21.7853235,Zebrnjak,memorial
3418320912,41.8229140,21.7360635,Масакр кај Пуста Кула,memorial
3713662739,41.9952169,21.4261530,Josip Broz Tito,memorial
4128156209,41.9977079,21.4339766,Св. Кирил и Методиј,memorial
4128156210,41.9975624,21.4341509,Св. Климент Охридски и Наум Охридски Чудотворец,memorial
4149143991,41.9953917,21.4313414,Цар Самоил,memorial
4161113452,41.9964949,21.4321474,Даме Груев,memorial
4161113453,41.9968799,21.4323054,Јустинијан I,memorial
4161249330,41.9979046,21.4344182,Олимпија,memorial
4306447780,41.3661079,21.6749495,Борка Талески-Модерното / Лазо Филиповски-Лавски,memorial
4351691820,40.9142149,20.7412554,Свети Наум,memorial
4692355519,42.0620592,20.6541650,Shtatorja e Adem Jasharit,memorial
4745413067,41.2788101,20.7836677,Ботун,memorial
5541143272,41.8845661,22.5039935,Теракота,memorial
5551392390,41.1745272,20.6778868,Никола Кукунешоски - Дунѓерски,memorial
5551392391,41.1747311,20.6779485,Крсте Јовановски,memorial
5551392392,41.1749451,20.6779833,Димче Кошаркоски,memorial
5551410938,41.1756537,20.6782194,Боро Шаин,memorial
5551410939,41.1755185,20.6781791,Јово Стефановски - Риле,memorial
5551410940,41.1753893,20.6781416,Разме Малески,memorial
5551410941,41.1752843,20.6781067,Петре Гончески - Гиле,memorial
5711419372,41.9963577,21.4323793,Гоце Делчев,memorial
5901740885,41.9952759,21.4319995,Спомен плоча на Мајка Тереза,memorial
5926438456,41.1057278,20.8078335,Ард ден Долард,memorial
6054048485,41.9957136,21.4306041,Методија Андонов - Ченто,memorial
6349721704,41.7213441,22.6569551,Споменик на Малешевскиот (Малешки) народноослободителен одред,memorial
6821158694,41.9943288,21.4307922,2 musicians and one dancing man,memorial
6833101185,41.1120953,20.7956940,Коста Абраш,memorial
6837039795,41.1124032,20.8071328,Henry Dunant,memorial
7473901313,41.1850048,20.7762352,AXX110 / RA-42390,memorial
7473959214,41.9779001,21.6157628,PMK301 / PH-KXL,memorial
7475537800,41.3724643,21.5605466,Дабнички масакр,memorial
7508523395,42.0224160,21.5476216,Ацо Ангеловски,memorial
7508523396,42.0225556,21.5480468,Кирил Петрушевски,memorial
7508523397,42.0227044,21.5486015,Ерол Готак,memorial
7564103281,41.9764851,21.1660504,Нане Наумоски,memorial
7564103282,41.9778470,21.1773385,Сашо Китаноски,memorial
7564103283,41.9775300,21.1679024,Бранко Секулоски,memorial
7564125585,41.9781971,21.1745241,Горан Миноски,memorial
7564125586,41.9778930,21.1713626,Марко Деспотоски,memorial
7564125587,41.9767167,21.1675604,Ердован Шабаноски,memorial
7564125588,41.9772958,21.1694976,Љубе Грујоски,memorial
7564125589,41.9770406,21.1717935,Дарко Велјаноски,memorial
7564125590,41.9767893,21.1747438,Веби Рушитоски,memorial
7564125591,41.9770420,21.1770879,Пеце Секулоски,memorial
7623493347,41.3575814,21.6256855,Карпалак,memorial
7626158238,41.4014262,22.0284286,Масакр во Ваташа,memorial
7771077503,41.4436592,20.8721449,Duko Tasev,memorial
7836134125,41.8627557,21.9386585,Св. Илија,memorial
8048135011,41.3464944,21.5629735,Кире Гаврилоски-Јане / Круме Волнароски-Коља,memorial
8063563409,41.3421058,21.5572532,Александар Македонски,memorial
8193704891,41.3761727,21.2464617,Мирослав Јоксимовиќ,memorial
8412381211,41.3660450,20.6489384,1. Бригада,memorial
8534237588,41.3435127,21.5549177,08.12.1941,memorial
8883349543,41.9988251,21.4506665,Генерал Михајло Апостолски,memorial
8901338318,41.6560282,21.0216359,Sultana,memorial
8901338319,41.7192252,20.8817320,Xhemë Hasa,memorial
8901349094,41.5964956,20.9510739,Albanian Mother,memorial
9078062189,41.9937260,21.4332709,Невена Георгиева-Дуња,memorial
9200215821,41.1141534,20.7982760,Нада Филева,memorial
9200216569,42.0043082,21.4185013,Dane kraptzew,memorial
9269907745,41.9918182,21.4296159,Атентат на Киро Глигоров,memorial
10006874002,42.0001506,22.1778987,Јаким Д Стојковски,memorial
10204019571,41.1757975,20.6778798,Нико Нестор-Дживджан,memorial
10204019572,41.1756353,20.6791018,Дрини дент,memorial
10913797906,41.9964125,21.4328484,Споменик „Солунски атентатори и Гемиџии“,memorial
